terminology,code,description,phenotype,subphenotype
snomed,707148007,Recurrent post-transplant renal disease (disorder),renal_replacement_therapy,transplant


snomed,703048006,Vesicoureteric reflux after renal transplant (disorder),renal_replacement_therapy,transplant


snomed,699235009,Continuous ambulatory peritoneal dialysis associated peritonitis (disorder),renal_replacement_therapy,dialysis


snomed,473195006,Normal renal function of transplanted kidney (finding),renal_replacement_therapy,transplant


snomed,462550000,"Haemodialysis system, institutional/home-use",renal_replacement_therapy,dialysis


snomed,462316005,Haemodialysis start/stop set,renal_replacement_therapy,dialysis


snomed,446048008,Change of prescription for haemodialysis,renal_replacement_therapy,dialysis


snomed,443596009,Dependence on peritoneal dialysis (finding),renal_replacement_therapy,dialysis


snomed,443143006,Dependence on hemodialysis (finding),renal_replacement_therapy,dialysis


snomed,442326005,Cloudy peritoneal dialysis effluent (finding),renal_replacement_therapy,dialysis


snomed,440512006,Biopsy of transplanted kidney using ultrasound guidance,renal_replacement_therapy,transplant


snomed,440084005,Assessment of adequacy of dialysis (procedure),renal_replacement_therapy,dialysis


snomed,438661003,Renal transplant biopsy sample,renal_replacement_therapy,transplant


snomed,438342006,Replacement of peritoneal dialysis catheter (procedure),renal_replacement_therapy,dialysis


snomed,432018009,Replacement of dialysis catheter using fluoroscopic guidance (procedure),renal_replacement_therapy,dialysis


snomed,431988002,Doppler ultrasonography of transplanted kidney,renal_replacement_therapy,transplant


snomed,431873008,Peritonitis due to infected peritoneal dialysis catheter,renal_replacement_therapy,dialysis


snomed,429451003,Disorder related to renal transplantation (disorder),renal_replacement_therapy,transplant


snomed,429075005,Dependence on dialysis due to end stage renal disease (finding),renal_replacement_therapy,dialysis


snomed,428982002,Dependence on hemodialysis due to end stage renal disease (finding),renal_replacement_therapy,dialysis


snomed,428937001,Dependence on peritoneal dialysis due to end stage renal disease (finding),renal_replacement_therapy,dialysis


snomed,428648006,Automated peritoneal dialysis (procedure),renal_replacement_therapy,dialysis


snomed,428645009,Examination of recipient after kidney transplant (procedure),renal_replacement_therapy,transplant


snomed,428575007,Hypertension secondary to kidney transplant (disorder),renal_replacement_therapy,transplant


snomed,412859006,Dialysis fluid examination,renal_replacement_therapy,dialysis


snomed,408667000,Haemodialysis-associated hypotension,renal_replacement_therapy,dialysis


snomed,385973000,Dialysis care management,renal_replacement_therapy,dialysis


snomed,385971003,Dialysis care (regime/therapy),renal_replacement_therapy,dialysis


snomed,302497006,Hemodialysis (procedure),renal_replacement_therapy,dialysis


snomed,300478000,Finding of measures of dialysis,renal_replacement_therapy,dialysis


snomed,277011002,Pre-existing disease in renal transplant (disorder),renal_replacement_therapy,transplant


snomed,269698004,Failure of sterile precautions during kidney dialysis​,renal_replacement_therapy,dialysis


snomed,265764009,Renal dialysis (procedure),renal_replacement_therapy,dialysis


snomed,263636009,Type of haemodialysis,renal_replacement_therapy,dialysis


snomed,251866006,Adequacy of dialysis,renal_replacement_therapy,dialysis


